"","species_name","genus","tribe","haplochromine","water_system","lm_ecology","mouthbrooder","depth","piscivore"
"Hemitaeniochromis urotaenia","Hemitaeniochromis urotaenia","Hemitaeniochromis","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","benthopelagic","piscivore"
"Otopharynx lithobates","Otopharynx lithobates","Otopharynx","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","demersal","non-piscivore"
"Mylochromis anaphyrmus","Mylochromis anaphyrmus","Mylochromis","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","demersal","non-piscivore"
"Mchenga eucinostomus","Mchenga eucinostomus","Mchenga","Haplochromini","Haplochromine","Lake Malawi","Utaka","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Mchenga inornata","Mchenga inornata","Mchenga","Haplochromini","Haplochromine","Lake Malawi","Utaka","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Nyassachromis nigritaeniatus","Nyassachromis nigritaeniatus","Nyassachromis","Haplochromini","Haplochromine","Lake Malawi","Utaka","maternal_mouthbrooder","demersal","non-piscivore"
"Nyassachromis purpurans","Nyassachromis purpurans","Nyassachromis","Haplochromini","Haplochromine","Lake Malawi","Utaka","maternal_mouthbrooder","demersal","non-piscivore"
"Nyassachromis leuciscus","Nyassachromis leuciscus","Nyassachromis","Haplochromini","Haplochromine","Lake Malawi","Utaka","maternal_mouthbrooder","demersal","non-piscivore"
"Nyassachromis breviceps","Nyassachromis breviceps","Nyassachromis","Haplochromini","Haplochromine","Lake Malawi","Utaka","maternal_mouthbrooder","demersal","non-piscivore"
"Nyassachromis microcephalus","Nyassachromis microcephalus","Nyassachromis","Haplochromini","Haplochromine","Lake Malawi","Utaka","maternal_mouthbrooder","demersal","non-piscivore"
"Hemitilapia oxyrhynchus","Hemitilapia oxyrhynchus","Hemitilapia","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Lethrinops gossei","Lethrinops gossei","Lethrinops","Haplochromini","Haplochromine","Lake Malawi","Deep Benthic","maternal_mouthbrooder","demersal","non-piscivore"
"Lethrinops lethrinus","Lethrinops lethrinus","Lethrinops","Haplochromini","Haplochromine","Lake Malawi","Deep Benthic","maternal_mouthbrooder","demersal","non-piscivore"
"Mylochromis balteatus","Mylochromis balteatus","Mylochromis","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","demersal","non-piscivore"
"Lichnochromis acuticeps","Lichnochromis acuticeps","Lichnochromis","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","demersal","piscivore"
"Nimbochromis polystigma","Nimbochromis polystigma","Nimbochromis","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","demersal","piscivore"
"Nimbochromis livingstonii","Nimbochromis livingstonii","Nimbochromis","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","demersal","piscivore"
"Nimbochromis venustus","Nimbochromis venustus","Nimbochromis","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","demersal","piscivore"
"Nimbochromis linni","Nimbochromis linni","Nimbochromis","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","demersal","piscivore"
"Dimidiochromis kiwinge","Dimidiochromis kiwinge","Dimidiochromis","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","benthopelagic","piscivore"
"Dimidiochromis strigatus","Dimidiochromis strigatus","Dimidiochromis","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","benthopelagic","piscivore"
"Dimidiochromis compressiceps","Dimidiochromis compressiceps","Dimidiochromis","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","benthopelagic","piscivore"
"Mylochromis guentheri","Mylochromis guentheri","Mylochromis","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","demersal","non-piscivore"
"Otopharynx argyrosoma","Otopharynx argyrosoma","Otopharynx","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","demersal","non-piscivore"
"Copadichromis virginalis","Copadichromis virginalis","Copadichromis","Haplochromini","Haplochromine","Lake Malawi","Utaka","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Taeniolethrinops praeorbitalis","Taeniolethrinops praeorbitalis","Taeniolethrinops","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","demersal","non-piscivore"
"Taeniolethrinops furcicauda","Taeniolethrinops furcicauda","Taeniolethrinops","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","demersal","non-piscivore"
"Buccochromis heterotaenia","Buccochromis heterotaenia","Buccochromis","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","benthopelagic","piscivore"
"Buccochromis nototaenia","Buccochromis nototaenia","Buccochromis","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","benthopelagic","piscivore"
"Buccochromis oculatus","Buccochromis oculatus","Buccochromis","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","benthopelagic","piscivore"
"Buccochromis spectabilis","Buccochromis spectabilis","Buccochromis","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","benthopelagic","piscivore"
"Buccochromis atritaeniatus","Buccochromis atritaeniatus","Buccochromis","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","benthopelagic","piscivore"
"Mylochromis plagiotaenia","Mylochromis plagiotaenia","Mylochromis","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","demersal","non-piscivore"
"Protomelas triaenodon","Protomelas triaenodon","Protomelas","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Protomelas insignis","Protomelas insignis","Protomelas","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","benthopelagic","piscivore"
"Mylochromis melanonotus","Mylochromis melanonotus","Mylochromis","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","demersal","piscivore"
"Mylochromis semipalatus","Mylochromis semipalatus","Mylochromis","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","demersal","non-piscivore"
"Mylochromis formosus","Mylochromis formosus","Mylochromis","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","demersal","piscivore"
"Copadichromis quadrimaculatus","Copadichromis quadrimaculatus","Copadichromis","Haplochromini","Haplochromine","Lake Malawi","Utaka","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Copadichromis likomae","Copadichromis likomae","Copadichromis","Haplochromini","Haplochromine","Lake Malawi","Utaka","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Copadichromis trimaculatus","Copadichromis trimaculatus","Copadichromis","Haplochromini","Haplochromine","Lake Malawi","Utaka","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Copadichromis chrysonotus","Copadichromis chrysonotus","Copadichromis","Haplochromini","Haplochromine","Lake Malawi","Utaka","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Otopharynx ovatus","Otopharynx ovatus","Otopharynx","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","demersal","non-piscivore"
"Otopharynx speciosus","Otopharynx speciosus","Otopharynx","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","demersal","piscivore"
"Otopharynx tetrastigma","Otopharynx tetrastigma","Otopharynx","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","demersal","non-piscivore"
"Docimodus evelynae","Docimodus evelynae","Docimodus","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","benthopelagic","piscivore"
"Tropheops tropheops","Tropheops tropheops","Tropheops","Haplochromini","Haplochromine","Lake Malawi","Mbuna","maternal_mouthbrooder","demersal","non-piscivore"
"Genyochromis mento","Genyochromis mento","Genyochromis","Haplochromini","Haplochromine","Lake Malawi","Mbuna","maternal_mouthbrooder","benthopelagic","piscivore"
"Petrotilapia genalutea","Petrotilapia genalutea","Petrotilapia","Haplochromini","Haplochromine","Lake Malawi","Mbuna","maternal_mouthbrooder","demersal","non-piscivore"
"Chindongo cyaneus","Chindongo cyaneus","Chindongo","Haplochromini","Haplochromine","Lake Malawi","Mbuna","maternal_mouthbrooder","demersal","non-piscivore"
"Chindongo elongatus","Chindongo elongatus","Chindongo","Haplochromini","Haplochromine","Lake Malawi","Mbuna","maternal_mouthbrooder","demersal","non-piscivore"
"Pseudotropheus interruptus","Pseudotropheus interruptus","Pseudotropheus","Haplochromini","Haplochromine","Lake Malawi","Mbuna","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Pseudotropheus johannii","Pseudotropheus johannii","Pseudotropheus","Haplochromini","Haplochromine","Lake Malawi","Mbuna","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Pseudotropheus purpuratus","Pseudotropheus purpuratus","Pseudotropheus","Haplochromini","Haplochromine","Lake Malawi","Mbuna","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Abactochromis labrosus","Abactochromis labrosus","Abactochromis","Haplochromini","Haplochromine","Lake Malawi","Mbuna","maternal_mouthbrooder","demersal","non-piscivore"
"Melanochromis robustus","Melanochromis robustus","Melanochromis","Haplochromini","Haplochromine","Lake Malawi","Mbuna","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Melanochromis chipokae","Melanochromis chipokae","Melanochromis","Haplochromini","Haplochromine","Lake Malawi","Mbuna","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Melanochromis melanopterus","Melanochromis melanopterus","Melanochromis","Haplochromini","Haplochromine","Lake Malawi","Mbuna","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Melanochromis loriae","Melanochromis loriae","Melanochromis","Haplochromini","Haplochromine","Lake Malawi","Mbuna","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Melanochromis auratus","Melanochromis auratus","Melanochromis","Haplochromini","Haplochromine","Lake Malawi","Mbuna","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Labeotropheus fuelleborni","Labeotropheus fuelleborni","Labeotropheus","Haplochromini","Haplochromine","Lake Malawi","Mbuna","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Labeotropheus trewavasae","Labeotropheus trewavasae","Labeotropheus","Haplochromini","Haplochromine","Lake Malawi","Mbuna","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Cynotilapia axelrodi","Cynotilapia axelrodi","Cynotilapia","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Cynotilapia afra","Cynotilapia afra","Cynotilapia","Haplochromini","Haplochromine","Lake Malawi","Mbuna","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Maylandia lanisticola","Maylandia lanisticola","Maylandia","Haplochromini","Haplochromine","Lake Malawi","Mbuna","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Maylandia zebra","Maylandia zebra","Maylandia","Haplochromini","Haplochromine","Lake Malawi","Mbuna","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Iodotropheus sprengerae","Iodotropheus sprengerae","Iodotropheus","Haplochromini","Haplochromine","Lake Malawi","Mbuna","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Labidochromis freibergi","Labidochromis freibergi","Labidochromis","Haplochromini","Haplochromine","Lake Malawi","Mbuna","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Labidochromis strigatus","Labidochromis strigatus","Labidochromis","Haplochromini","Haplochromine","Lake Malawi","Mbuna","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Labidochromis pallidus","Labidochromis pallidus","Labidochromis","Haplochromini","Haplochromine","Lake Malawi","Mbuna","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Astatotilapia calliptera","Astatotilapia calliptera","Astatotilapia","Haplochromini","Haplochromine","Lake Malawi","Astatotilapia","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Astatoreochromis alluaudi","Astatoreochromis alluaudi","Astatoreochromis","Basal Modern Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Astatoreochromis straeleni","Astatoreochromis straeleni","Astatoreochromis","Basal Modern Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Lobochilotes labiatus","Lobochilotes labiatus","Lobochilotes","Tropheini","Haplochromine","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Simochromis diagramma","Simochromis diagramma","Simochromis","Tropheini","Haplochromine","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Interochromis loocki","Interochromis loocki","Interochromis","Tropheini","Haplochromine","Lake Tanganyika","not_applicable","maternal_mouthbrooder","demersal","non-piscivore"
"Petrochromis fasciolatus","Petrochromis fasciolatus","Petrochromis","Tropheini","Haplochromine","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Petrochromis orthognathus","Petrochromis orthognathus","Petrochromis","Tropheini","Haplochromine","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Pseudosimochromis marginatus","Pseudosimochromis marginatus","Pseudosimochromis","Tropheini","Haplochromine","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Pseudosimochromis curvifrons","Pseudosimochromis curvifrons","Pseudosimochromis","Tropheini","Haplochromine","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Pseudosimochromis babaulti","Pseudosimochromis babaulti","Pseudosimochromis","Tropheini","Haplochromine","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Ctenochromis horei","Ctenochromis horei","Ctenochromis","Basal Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","piscivore"
"Gnathochromis pfefferi","Gnathochromis pfefferi","Gnathochromis","Tropheini","Haplochromine","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Limnotilapia dardennii","Limnotilapia dardennii","Limnotilapia","Tropheini","Haplochromine","Lake Tanganyika","not_applicable","maternal_mouthbrooder","demersal","non-piscivore"
"Petrochromis famula","Petrochromis famula","Petrochromis","Tropheini","Haplochromine","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Petrochromis horii","Petrochromis horii","Petrochromis","Tropheini","Haplochromine","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Petrochromis polyodon","Petrochromis polyodon","Petrochromis","Tropheini","Haplochromine","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Petrochromis macrognathus","Petrochromis macrognathus","Petrochromis","Tropheini","Haplochromine","Lake Tanganyika","not_applicable","maternal_mouthbrooder","demersal","non-piscivore"
"Petrochromis trewavasae","Petrochromis trewavasae","Petrochromis","Tropheini","Haplochromine","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Petrochromis ephippium","Petrochromis ephippium","Petrochromis","Tropheini","Haplochromine","Lake Tanganyika","not_applicable","maternal_mouthbrooder","demersal","non-piscivore"
"Tropheus moorii","Tropheus moorii","Tropheus","Tropheini","Haplochromine","Lake Tanganyika","not_applicable","maternal_mouthbrooder","demersal","non-piscivore"
"Tropheus brichardi","Tropheus brichardi","Tropheus","Tropheini","Haplochromine","Lake Tanganyika","not_applicable","maternal_mouthbrooder","demersal","non-piscivore"
"Tropheus duboisi","Tropheus duboisi","Tropheus","Tropheini","Haplochromine","Lake Tanganyika","not_applicable","maternal_mouthbrooder","demersal","non-piscivore"
"Orthochromis polyacanthus","Orthochromis polyacanthus","Orthochromis","Basal Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Orthochromis stormsi","Orthochromis stormsi","Orthochromis","Basal Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Orthochromis kalungwishiensis","Orthochromis kalungwishiensis","Orthochromis","Basal Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Orthochromis indermauri","Orthochromis indermauri","Orthochromis","Basal Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Ctenochromis oligacanthus","Ctenochromis oligacanthus","Ctenochromis","Basal Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Serranochromis robustus","Serranochromis robustus","Serranochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","demersal","piscivore"
"Serranochromis thumbergi","Serranochromis thumbergi","Serranochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","demersal","piscivore"
"Serranochromis angusticeps","Serranochromis angusticeps","Serranochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","demersal","piscivore"
"Serranochromis macrocephalus","Serranochromis macrocephalus","Serranochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","demersal","piscivore"
"Serranochromis longimanus","Serranochromis longimanus","Serranochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","demersal","piscivore"
"Serranochromis stappersi","Serranochromis stappersi","Serranochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","piscivore"
"Serranochromis meridianus","Serranochromis meridianus","Serranochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","demersal","piscivore"
"Pharyngochromis acuticeps","Pharyngochromis acuticeps","Pharyngochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Sargochromis carlottae","Sargochromis carlottae","Sargochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","demersal","non-piscivore"
"Sargochromis mellandi","Sargochromis mellandi","Sargochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","demersal","non-piscivore"
"Sargochromis mortimeri","Sargochromis mortimeri","Sargochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","demersal","non-piscivore"
"Sargochromis codringtonii","Sargochromis codringtonii","Sargochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","demersal","non-piscivore"
"Thoracochromis albolabris","Thoracochromis albolabris","Thoracochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Orthochromis machadoi","Orthochromis machadoi","Orthochromis","Basal Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Pseudocrenilabrus philander","Pseudocrenilabrus philander","Pseudocrenilabrus","Basal Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Pseudocrenilabrus multicolor","Pseudocrenilabrus multicolor","Pseudocrenilabrus","Basal Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","demersal","non-piscivore"
"Ctenochromis pectoralis","Ctenochromis pectoralis","Ctenochromis","Basal Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Eretmodus marksmithi","Eretmodus marksmithi","Eretmodus","Eretmodini","Other","Lake Tanganyika","not_applicable","biparental_mouthbrooder","benthopelagic","non-piscivore"
"Spathodus marlieri","Spathodus marlieri","Spathodus","Eretmodini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","demersal","non-piscivore"
"Spathodus erythrodon","Spathodus erythrodon","Spathodus","Eretmodini","Other","Lake Tanganyika","not_applicable","biparental_mouthbrooder","demersal","non-piscivore"
"Tanganicodus irsacae","Tanganicodus irsacae","Tanganicodus","Eretmodini","Other","Lake Tanganyika","not_applicable","biparental_mouthbrooder","benthopelagic","non-piscivore"
"Eretmodus cyanostictus","Eretmodus cyanostictus","Eretmodus","Eretmodini","Other","Lake Tanganyika","not_applicable","biparental_mouthbrooder","benthopelagic","non-piscivore"
"Chalinochromis brichardi","Chalinochromis brichardi","Chalinochromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Chalinochromis cyanophleps","Chalinochromis cyanophleps","Chalinochromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Julidochromis dickfeldi","Julidochromis dickfeldi","Julidochromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Julidochromis ornatus","Julidochromis ornatus","Julidochromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Julidochromis marksmithi","Julidochromis marksmithi","Julidochromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","pelagic","non-piscivore"
"Julidochromis regani","Julidochromis regani","Julidochromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Julidochromis marlieri","Julidochromis marlieri","Julidochromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","demersal","non-piscivore"
"Neolamprologus furcifer","Neolamprologus furcifer","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus timidus","Neolamprologus timidus","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus buescheri","Neolamprologus buescheri","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus prochilus","Neolamprologus prochilus","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus obscurus","Neolamprologus obscurus","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus niger","Neolamprologus niger","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus mustax","Neolamprologus mustax","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus nigriventris","Neolamprologus nigriventris","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus pectoralis","Neolamprologus pectoralis","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus bifasciatus","Neolamprologus bifasciatus","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus leleupi","Neolamprologus leleupi","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus longior","Neolamprologus longior","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus cylindricus","Neolamprologus cylindricus","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus cancellatus","Neolamprologus cancellatus","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Telmatochromis vittatus","Telmatochromis vittatus","Telmatochromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Telmatochromis dhonti","Telmatochromis dhonti","Telmatochromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Telmatochromis brichardi","Telmatochromis brichardi","Telmatochromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","demersal","non-piscivore"
"Telmatochromis bifrenatus","Telmatochromis bifrenatus","Telmatochromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","demersal","non-piscivore"
"Telmatochromis brachygnathus","Telmatochromis brachygnathus","Telmatochromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Telmatochromis temporalis","Telmatochromis temporalis","Telmatochromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","demersal","non-piscivore"
"Neolamprologus devosi","Neolamprologus devosi","Neolamprologus","Lamprologini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus pulcher","Neolamprologus pulcher","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus falcicula","Neolamprologus falcicula","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus walteri","Neolamprologus walteri","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus splendens","Neolamprologus splendens","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus gracilis","Neolamprologus gracilis","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus marunguensis","Neolamprologus marunguensis","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus savoryi","Neolamprologus savoryi","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus christyi","Neolamprologus christyi","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus petricola","Neolamprologus petricola","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus modestus","Neolamprologus modestus","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus mondabu","Neolamprologus mondabu","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","piscivore"
"Neolamprologus tetracanthus","Neolamprologus tetracanthus","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus toae","Neolamprologus toae","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Variabilichromis moorii","Variabilichromis moorii","Variabilichromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus sexfasciatus","Neolamprologus sexfasciatus","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Neolamprologus tretocephalus","Neolamprologus tretocephalus","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
