node,mean,median,sd,n,CI_upper,CI_lower,notes
605,3.487120945,3.485266,0.058070583,18005,3.487969179,3.486272711,
606,3.491835087,3.492022,0.05640948,18005,3.492659057,3.491011116,
607,3.493950659,3.493554,0.061106055,18005,3.494843232,3.493058086,
608,3.494679748,3.495539,0.058259375,18005,3.495530739,3.493828756,
609,3.493436667,3.492622,0.059826287,18005,3.494310547,3.492562788,
610,3.493584681,3.490865,0.060379647,18005,3.494466643,3.492702718,
611,3.39615926,3.396732,0.082962291,18005,3.397371086,3.394947434,
612,3.436708735,3.437301,0.057323333,18005,3.437546054,3.435871416,
613,3.392149722,3.39336,0.071590991,18005,3.393195448,3.391103996,
614,3.356635726,3.352823,0.111717729,18005,3.358267581,3.35500387,
615,3.372721086,3.372689,0.041660128,18005,3.373329614,3.372112559,
616,3.408805406,3.412786,0.117411727,18005,3.410520433,3.407090378,
617,3.395052093,3.395536,0.047990445,18005,3.395753087,3.3943511,
618,3.381531593,3.379667,0.028822948,18005,3.381952608,3.381110578,
619,3.381571949,3.380798,0.028919809,18005,3.381994379,3.381149518,
620,3.395795393,3.397239,0.090122058,18005,3.397111801,3.394478984,
621,3.381460837,3.378991,0.028978407,18005,3.381884123,3.381037551,
622,3.46904023,3.47201,0.102769124,18005,3.470541373,3.467539087,
623,3.522997676,3.526183,0.085733379,18005,3.524249979,3.521745373,
624,3.524045646,3.525313,0.085756312,18005,3.525298284,3.522793008,
625,3.537919397,3.539401,0.085816229,18005,3.53917291,3.536665884,
626,3.528526178,3.528324,0.071554193,18005,3.529571366,3.527480989,
627,3.532396554,3.53279,0.074825549,18005,3.533489527,3.531303581,
628,3.541740903,3.541716,0.047157137,18005,3.542429725,3.541052081,
629,3.545006982,3.545233,0.041489728,18005,3.54561302,3.544400944,
630,3.555042207,3.555005,0.045280006,18005,3.55570361,3.554380805,
631,3.562105248,3.561954,0.047815516,18005,3.562803687,3.561406809,
632,3.564401738,3.564139,0.04988154,18005,3.565130355,3.563673121,
633,3.562871905,3.563719,0.052560791,18005,3.563639658,3.562104153,
634,3.544955798,3.545101,0.041673995,18005,3.545564528,3.544347068,
635,3.532896112,3.533802,0.071171719,18005,3.533935714,3.53185651,
636,3.52427498,3.526369,0.06410216,18005,3.525211317,3.523338643,
637,3.517109551,3.518372,0.056035874,18005,3.517928064,3.516291038,
638,3.50140274,3.501999,0.047187651,18005,3.502092007,3.500713472,
639,3.524063467,3.523794,0.068762591,18005,3.525067879,3.523059056,
640,3.527065737,3.528958,0.067951035,18005,3.528058294,3.526073179,
641,3.538320409,3.538408,0.067470641,18005,3.539305949,3.537334869,
642,3.539277768,3.541196,0.067125933,18005,3.540258273,3.538297263,
643,3.539485894,3.539199,0.067749421,18005,3.540475507,3.538496282,
644,3.517411366,3.51571,0.02128644,18005,3.517722296,3.517100436,
645,3.517329089,3.51618,0.02130202,18005,3.517640247,3.517017932,
646,3.528588086,3.528692,0.069341074,18005,3.529600948,3.527575225,
647,3.530791591,3.531942,0.066213789,18005,3.531758772,3.52982441,
648,3.516219069,3.516654,0.064265452,18005,3.517157791,3.515280346,
649,3.493732281,3.493452,0.080468397,18005,3.494907679,3.492556884,
650,3.489305131,3.48725,0.072215178,18005,3.490359975,3.488250288,
651,3.502450446,3.504724,0.066939619,18005,3.503428229,3.501472662,
652,3.502170063,3.504257,0.066489246,18005,3.503141268,3.501198858,
