"","tree","model","AICc","regime"
"308",64,"OUMV",-1039.96488219929,"riverine_lacustrine"
"309",64,"OUMVA",-945.68973865095,"riverine_lacustrine"
"310",65,"BMS",-722.382941827307,"riverine_lacustrine"
"311",65,"OUM",-1031.89493869762,"riverine_lacustrine"
"312",65,"OUMV",-1039.96559837735,"riverine_lacustrine"
"313",65,"OUMA",-902.027337709235,"riverine_lacustrine"
"314",65,"OUMVA",-1038.17104163634,"riverine_lacustrine"
"315",66,"BMS",-722.512080705941,"riverine_lacustrine"
"316",66,"OUM",-1032.06999548774,"riverine_lacustrine"
"317",66,"OUMV",-1040.16402877684,"riverine_lacustrine"
"318",66,"OUMA",-924.788223072422,"riverine_lacustrine"
"319",66,"OUMVA",-1050.87103425087,"riverine_lacustrine"
"320",67,"BMS",-721.853478922793,"riverine_lacustrine"
"321",67,"OUM",-1031.88531334274,"riverine_lacustrine"
"322",67,"OUMV",-1039.95377180202,"riverine_lacustrine"
"323",67,"OUMA",-889.422194916556,"riverine_lacustrine"
"324",67,"OUMVA",-1046.81949612428,"riverine_lacustrine"
"325",68,"BMS",-720.214091348555,"riverine_lacustrine"
"326",68,"OUM",-1032.25299917004,"riverine_lacustrine"
"327",68,"OUMV",-1040.33216157016,"riverine_lacustrine"
"328",68,"OUMA",-927.799366611093,"riverine_lacustrine"
"329",68,"OUMVA",-990.147112150176,"riverine_lacustrine"
"330",69,"BMS",-721.550068798797,"riverine_lacustrine"
"331",69,"OUM",-1032.41039277352,"riverine_lacustrine"
"332",69,"OUMV",-1040.40510919898,"riverine_lacustrine"
"333",69,"OUMA",-915.623151643578,"riverine_lacustrine"
"334",69,"OUMVA",-968.742678371435,"riverine_lacustrine"
"335",70,"BMS",-722.823852635492,"riverine_lacustrine"
"336",70,"OUM",-1031.91051060782,"riverine_lacustrine"
"337",70,"OUMV",-1039.98343563178,"riverine_lacustrine"
"338",70,"OUMA",-921.040743232494,"riverine_lacustrine"
"339",70,"OUMVA",-982.779690803831,"riverine_lacustrine"
"340",71,"BMS",-720.628095434163,"riverine_lacustrine"
"341",71,"OUM",-1031.89040316844,"riverine_lacustrine"
"342",71,"OUMV",-1039.95802213704,"riverine_lacustrine"
"343",71,"OUMVA",-861.779564615043,"riverine_lacustrine"
"344",72,"BMS",-721.971732268107,"riverine_lacustrine"
"345",72,"OUM",-1031.88516668468,"riverine_lacustrine"
"346",72,"OUMV",-1039.95359511023,"riverine_lacustrine"
"347",72,"OUMA",-981.101829839606,"riverine_lacustrine"
"348",72,"OUMVA",-1014.42098220368,"riverine_lacustrine"
"349",73,"BMS",-722.740161791238,"riverine_lacustrine"
"350",73,"OUM",-1031.89740025386,"riverine_lacustrine"
"351",73,"OUMV",-1039.96315227082,"riverine_lacustrine"
"352",73,"OUMA",-889.510122969415,"riverine_lacustrine"
"353",73,"OUMVA",-1011.93085923583,"riverine_lacustrine"
"354",74,"BMS",-729.271175589171,"riverine_lacustrine"
"355",74,"OUM",-1032.04733666189,"riverine_lacustrine"
"356",74,"OUMV",-1040.14090234231,"riverine_lacustrine"
"357",74,"OUMVA",-1065.19687689711,"riverine_lacustrine"
"358",75,"BMS",-726.292546725804,"riverine_lacustrine"
"359",75,"OUM",-1031.89855107813,"riverine_lacustrine"
"360",75,"OUMV",-1039.96414602204,"riverine_lacustrine"
"361",75,"OUMA",-971.595704977505,"riverine_lacustrine"
"362",75,"OUMVA",-1027.15093500296,"riverine_lacustrine"
"363",76,"BMS",-720.605295553671,"riverine_lacustrine"
"364",76,"OUM",-1031.9075641382,"riverine_lacustrine"
"365",76,"OUMV",-1039.97010100713,"riverine_lacustrine"
"366",76,"OUMA",-899.653855405481,"riverine_lacustrine"
"367",76,"OUMVA",-976.771914877468,"riverine_lacustrine"
"368",77,"BMS",-722.912232261423,"riverine_lacustrine"
"369",77,"OUM",-1031.91326913045,"riverine_lacustrine"
"370",77,"OUMV",-1039.98262324073,"riverine_lacustrine"
"371",77,"OUMVA",-996.549259054774,"riverine_lacustrine"
"372",78,"BMS",-722.560568613596,"riverine_lacustrine"
"373",78,"OUM",-1031.88515125509,"riverine_lacustrine"
"374",78,"OUMV",-1039.95358427296,"riverine_lacustrine"
"375",78,"OUMVA",-973.423868262628,"riverine_lacustrine"
"376",79,"BMS",-720.699604765079,"riverine_lacustrine"
"377",79,"OUM",-1033.3189030334,"riverine_lacustrine"
"378",79,"OUMV",-1041.00047933497,"riverine_lacustrine"
"379",79,"OUMA",-930.123994618048,"riverine_lacustrine"
"380",79,"OUMVA",-1003.95064943544,"riverine_lacustrine"
"381",80,"BMS",-717.113210179343,"riverine_lacustrine"
"382",80,"OUM",-1031.89090222642,"riverine_lacustrine"
"383",80,"OUMV",-1039.96013653785,"riverine_lacustrine"
"384",80,"OUMVA",-908.911905725161,"riverine_lacustrine"
"385",81,"BMS",-723.613328589476,"riverine_lacustrine"
"386",81,"OUM",-1031.60623098984,"riverine_lacustrine"
"387",81,"OUMV",-1039.843833803,"riverine_lacustrine"
"388",81,"OUMA",-925.47163025968,"riverine_lacustrine"
"389",81,"OUMVA",-1017.44018142321,"riverine_lacustrine"
"390",82,"BMS",-724.422810790537,"riverine_lacustrine"
"391",82,"OUM",-1031.88517844769,"riverine_lacustrine"
"392",82,"OUMV",-1039.95361573394,"riverine_lacustrine"
"393",82,"OUMA",-912.285112471436,"riverine_lacustrine"
"394",82,"OUMVA",-1039.09562417703,"riverine_lacustrine"
"395",83,"BMS",-728.854460991895,"riverine_lacustrine"
"396",83,"OUM",-1032.04825350149,"riverine_lacustrine"
"397",83,"OUMV",-1040.13838831502,"riverine_lacustrine"
"398",83,"OUMA",-924.314241360377,"riverine_lacustrine"
"399",83,"OUMVA",-1091.63236219351,"riverine_lacustrine"
"400",84,"BMS",-722.342111036195,"riverine_lacustrine"
"401",84,"OUM",-1032.23656813602,"riverine_lacustrine"
"402",84,"OUMV",-1040.20133378776,"riverine_lacustrine"
"403",84,"OUMA",-904.43577964282,"riverine_lacustrine"
"404",84,"OUMVA",-1055.07578994866,"riverine_lacustrine"
"405",85,"BMS",-722.721897785898,"riverine_lacustrine"
"406",85,"OUM",-1032.99256996933,"riverine_lacustrine"
"407",85,"OUMV",-1040.74482761758,"riverine_lacustrine"
"408",85,"OUMA",-893.64053117051,"riverine_lacustrine"
"409",85,"OUMVA",-974.647431240437,"riverine_lacustrine"
"410",86,"BMS",-724.648764525281,"riverine_lacustrine"
"411",86,"OUM",-1031.89234790778,"riverine_lacustrine"
"412",86,"OUMV",-1039.96264176867,"riverine_lacustrine"
"413",86,"OUMA",-917.062601846918,"riverine_lacustrine"
"414",86,"OUMVA",-1014.39083561942,"riverine_lacustrine"
"415",87,"BMS",-722.724900015559,"riverine_lacustrine"
"416",87,"OUM",-1032.36432819617,"riverine_lacustrine"
"417",87,"OUMV",-1040.29111667738,"riverine_lacustrine"
"418",87,"OUMA",-950.813044275787,"riverine_lacustrine"
"419",87,"OUMVA",-995.998641347375,"riverine_lacustrine"
"420",88,"BMS",-720.458411051252,"riverine_lacustrine"
"421",88,"OUM",-1032.24672044333,"riverine_lacustrine"
"422",88,"OUMV",-1040.32266874181,"riverine_lacustrine"
"423",88,"OUMA",-907.70508888773,"riverine_lacustrine"
"424",88,"OUMVA",-997.141947740964,"riverine_lacustrine"
"425",89,"BMS",-722.79147895339,"riverine_lacustrine"
"426",89,"OUM",-1031.8865639214,"riverine_lacustrine"
"427",89,"OUMV",-1039.95468772749,"riverine_lacustrine"
"428",89,"OUMVA",-982.582882625348,"riverine_lacustrine"
"429",90,"BMS",-719.523325000888,"riverine_lacustrine"
"430",90,"OUM",-1031.90342590518,"riverine_lacustrine"
"431",90,"OUMV",-1039.9703388291,"riverine_lacustrine"
"432",90,"OUMA",-919.677762208843,"riverine_lacustrine"
"433",90,"OUMVA",-986.428861822714,"riverine_lacustrine"
"434",91,"BMS",-723.964919250042,"riverine_lacustrine"
"435",91,"OUM",-1032.11604488636,"riverine_lacustrine"
"436",91,"OUMV",-1040.20815147264,"riverine_lacustrine"
"437",91,"OUMA",-916.270167676489,"riverine_lacustrine"
"438",91,"OUMVA",-1012.44993080558,"riverine_lacustrine"
"439",92,"BMS",-722.579086140828,"riverine_lacustrine"
"440",92,"OUM",-1031.88526416045,"riverine_lacustrine"
"441",92,"OUMV",-1039.95366387646,"riverine_lacustrine"
"442",92,"OUMA",-905.497680906471,"riverine_lacustrine"
"443",92,"OUMVA",-857.003148126022,"riverine_lacustrine"
"444",93,"BMS",-722.195494841054,"riverine_lacustrine"
"445",93,"OUM",-1031.90527657953,"riverine_lacustrine"
