"","species_name","genus","tribe","haplochromine","water_system","lm_ecology","mouthbrooder","depth","piscivore","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"311","Neolamprologus nigriventris","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-4.14427297727722,3.67580374525905,0.896517315915939,0.485562713913887,0.0427313742370618,0.0588462666243324,-2.55495800272333e-11
"314","Neolamprologus pectoralis","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-4.51355706581924,3.44863605238488,0.830391378384156,0.193170319420606,0.0497026974895782,0.0538294188389931,-2.55729156948266e-11
"283","Neolamprologus bifasciatus","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-1.87588472695901,3.75422956063815,1.11947032737106,0.505234484252329,0.0330148643255821,0.0662800530559744,-2.56434153705043e-11
"301","Neolamprologus leleupi","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-2.2623314218427,1.81550724247704,-0.122331582681787,0.194673922557605,0.036784901247211,0.0236882359582037,-2.54952767538809e-11
"303","Neolamprologus longior","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-3.10921969575767,2.80734171999603,0.77152071124207,0.151386198084959,0.036277176504527,0.0552775632035344,-2.55488441350374e-11
"294","Neolamprologus cylindricus","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-3.89251815475427,2.87799690144906,0.33826468333488,0.280483251973048,0.0411316742370294,0.0397397145035136,-2.55413965378201e-11
"289","Neolamprologus cancellatus","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-3.3568363482197,4.93522763495071,2.19743515869303,0.218451475372702,0.0762436737414863,0.0610688622642859,-2.55721279913193e-11
"522","Telmatochromis vittatus","Telmatochromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-4.03406880504654,4.01987052807418,0.692534288290726,-0.168363698741233,0.0486326139859929,0.0525715559022649,-2.55959268884515e-11
"515","Telmatochromis dhonti","Telmatochromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-1.86144390520826,3.80774500160042,0.898283236878946,0.319585370659876,0.0494015780789995,0.0636796553698792,-2.56338130213811e-11
"514","Telmatochromis brichardi","Telmatochromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","demersal","non-piscivore",-4.14524065713556,3.59152831687173,1.44005568045668,-0.254986386198824,0.0314853429045693,0.0648698503657278,-2.55776195185272e-11
