"","precaudal_count","caudal_count","total_count","ln_pc_ln_c","ln_length_ln_width","ln_ant_length_ln_width","ln_post_length_ln_width"
"Ophthalmotilapia boops",2.77825979448931,2.94416158647817,3.55808348319543,-0.165901791988857,0.9896086478,-0.1992742566,0.6452009368
"Cyathopharynx furcifer",2.77258872223978,2.8560767095922,3.50844874672635,-0.0834879873524144,1.0504508273,-0.1286144505,0.7013206583
"Xenotilapia papilio",2.56410153810156,3.01315733218593,3.50710371291158,-0.449055794084368,1.34542606607143,0.140549430857143,1.00146047335714
"Xenotilapia boulengeri",2.62423573518451,3.0722074322509,3.56653474628544,-0.447971697066391,1.2671667874,0.0948421548,0.9200854326
"Xenotilapia sima",2.51692373285741,3.12660386341498,3.56098223688275,-0.609680130557568,1.2902747684,0.1295711669,0.9345362663
"Enantiopus melanogenys",2.63905732961526,3.19438262815605,3.64797635428769,-0.555325298540789,1.6012342128,0.2612102744,1.3030615782
"Xenotilapia flavipinnis",2.55694508669418,3.0538264408504,3.52925927830349,-0.496881354156218,1.3886145294,0.1276792924,1.0645208848
"Xenotilapia ochrogenys",2.56494935746154,3.1221586871579,3.5750676753661,-0.557209329696363,1.4796671284,0.2975547212,1.1333345351
"Xenotilapia singularis",2.484906649788,3.13975017737103,3.55816514918608,-0.654843527583029,1.3759896099,0.1713629738,1.0399968875
"Xenotilapia leptura",2.77258872223978,3.04452243772342,3.61091791264422,-0.271933715483642,1.495112514,0.145625116,1.215985538
"Xenotilapia nigrolabiata",2.62423573518451,3.03941640645303,3.54665180042744,-0.415180671268512,1.2828247678,0.0450307719,0.9693686989
"Xenotilapia ornatipinnis",2.6053718877272,3.00903868196384,3.52085403801836,-0.403666794236633,1.30200056481818,0.107286406636364,0.963182218090909
"Xenotilapia nasus",2.57236015467691,2.99548196053218,3.49949285778145,-0.42312180585527,1.3159295341,0.0826107886,0.9888569795
"Xenotilapia caudafasciata",2.54716208908964,2.9954541479742,3.48966941509609,-0.44829205888456,1.22587652822222,0.132323208777778,0.856074026555556
"Xenotilapia longispinis",2.63905732961526,3.01524833922176,3.53795553936546,-0.376191009606505,1.2530851431,0.0808471678,0.915625921
