"","species_name","genus","tribe","haplochromine","water_system","lm_ecology","mouthbrooder","depth","piscivore","PC1","PC2","PC3","PC4","PC5"
"52","Steatocranus rouxi","Steatocranus","Steatocranini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-2.18913172811924,1.22291485680262,-0.544735457796482,-0.033414498961144,2.55226560793026e-11
"53","Steatocranus gibbiceps","Steatocranus","Steatocranini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-1.63884854635433,0.988042040946903,-0.430535803193895,-0.0309598758613458,2.5496038943179e-11
"54","Steatocranus glaber","Steatocranus","Steatocranini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-1.95851604303749,0.170511238287739,-0.231491953938893,0.00437991941506936,2.53937255728921e-11
"55","Steatocranus mpozoensis","Steatocranus","Steatocranini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-2.33184709782016,0.909489083103665,-0.251097251393482,-0.0148808414118294,2.54198741965557e-11
"56","Steatocranus tinanti","Steatocranus","Steatocranini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-2.94860109597389,1.81424318990466,-0.934269664028115,-0.0512960049497909,2.55600103366209e-11
"57","Steatocranus casuarius","Steatocranus","Steatocranini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-1.81467088919435,-0.428676978890019,0.257343765771594,0.0443664826530406,2.53193540270168e-11
"58","Steatocranus ubanguiensis","Steatocranus","Steatocranini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-0.993445076088751,0.157260767601747,-0.410126421085634,-0.0210826251161571,2.55011702303849e-11
"59","Pelmatolapia mariae","Pelmatolapia","Pelmatolapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-0.335864518198099,-1.0929746493956,0.813256767356322,0.0631231153452394,2.52877899927402e-11
"60","Iranocichla hormuzensis","Iranocichla","Oreochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",-1.18515707988935,-1.42198920885379,0.578243988065739,0.0853151445181665,2.52185268263128e-11
"61","Oreochromis mortimeri","Oreochromis","Oreochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",-1.51226605105199,-0.922284983950494,0.856053610561959,0.0813260082767713,2.52604190928819e-11
"62","Oreochromis shiranus","Oreochromis","Oreochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",-1.21172210570069,0.586712002309138,0.488222770535999,-0.00139908401798841,2.54021508607782e-11
"63","Oreochromis malagarasi","Oreochromis","Oreochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",-0.839673453910176,-1.37354995982594,1.20691323810106,0.0998034548190053,2.52045586434015e-11
"64","Oreochromis macrochir","Oreochromis","Oreochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",-1.57118870464749,0.978597282798841,1.10815163820178,0.00288187376364289,2.54627489429008e-11
"65","Oreochromis leucostictus","Oreochromis","Oreochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",-0.167819483794245,-0.94525126605236,0.460597400206984,0.0305570786328839,2.53933319254126e-11
"66","Oreochromis niloticus","Oreochromis","Oreochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",-1.23186366654068,-0.510556415226283,1.24478786350024,0.0659220649429593,2.53133302850733e-11
"67","Sarotherodon galilaeus","Sarotherodon","Oreochromini","Other","Riverine","not_applicable","biparental_mouthbrooder","demersal","non-piscivore",-0.800690430817073,-1.37498187665598,1.47238218792863,0.108412674380499,2.52470044572131e-11
"68","Pungu maclareni","Pungu","Oreochromini","Other","Riverine","not_applicable","biparental_mouthbrooder","demersal","non-piscivore",-1.02194531480202,-1.38521225332674,0.87924065555395,0.089431731122809,2.52192921314482e-11
"69","Sarotherodon melanotheron","Sarotherodon","Oreochromini","Other","Riverine","not_applicable","paternal_mouthbrooder","demersal","non-piscivore",0.188989774801836,-2.2420793322202,0.439896738459015,0.0867733718379581,2.52431541412534e-11
"70","Tylochromis jentinki","Tylochromis","Tylochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",-1.58247101166848,0.976055009554435,1.08734470180794,0.00259730730529202,2.54626960398058e-11
"71","Heterochromis multidens","Heterochromis","Heterochromini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore",0.722869397397801,-0.609340078763989,0.103183271710703,-0.00928423622402989,2.55337285142703e-11
