node,tribe,subtribe,water_system,notes
713,Lamprologini,,Lake Tanganyika,
714,Lamprologini,,Lake Tanganyika,
715,Lamprologini,,Lake Tanganyika,
716,Lamprologini,,Lake Tanganyika,
717,Lamprologini,,Lake Tanganyika,
718,Lamprologini,,Lake Tanganyika,
719,Lamprologini,,Lake Tanganyika,
720,Lamprologini,,Lake Tanganyika,
721,Lamprologini,,Lake Tanganyika,
722,Lamprologini,,Lake Tanganyika,
723,Lamprologini,,Lake Tanganyika,
724,Lamprologini,,Lake Tanganyika,
725,Lamprologini,,Lake Tanganyika,
726,Lamprologini,,Lake Tanganyika,
727,Lamprologini,,Lake Tanganyika,
728,Lamprologini,,Lake Tanganyika,
729,Lamprologini,,Lake Tanganyika,
730,Lamprologini,,Lake Tanganyika,
731,Lamprologini,,Lake Tanganyika,
732,Lamprologini,,Lake Tanganyika,
733,Lamprologini,,Lake Tanganyika,
734,Lamprologini,,Lake Tanganyika,
735,Lamprologini,,Lake Tanganyika,
736,Lamprologini,,Lake Tanganyika,
737,Lamprologini,,Lake Tanganyika,
738,Lamprologini,,Lake Tanganyika,
739,Lamprologini,,Lake Tanganyika,
740,Lamprologini,,Lake Tanganyika,
741,Lamprologini,,Lake Tanganyika,
742,Lamprologini,,Lake Tanganyika,
743,Lamprologini,,Lake Tanganyika,
744,Lamprologini,,Lake Tanganyika,
745,Lamprologini,,Lake Tanganyika,
746,Lamprologini,,Lake Tanganyika,
747,Lamprologini,,Lake Tanganyika,
748,Lamprologini,,Lake Tanganyika,
749,Lamprologini,,Lake Tanganyika,
750,Lamprologini,,Lake Tanganyika,
751,Lamprologini,,Lake Tanganyika,
752,Lamprologini,,Lake Tanganyika,
753,Lamprologini,,Lake Tanganyika,
754,Lamprologini,,Lake Tanganyika,
755,Lamprologini,,Lake Tanganyika,
756,Lamprologini,,Lake Tanganyika,
757,Lamprologini,,Lake Tanganyika,
758,Lamprologini,,Lake Tanganyika,
759,Lamprologini,,Lake Tanganyika,
760,Lamprologini,,Lake Tanganyika,
761,Lamprologini,,Lake Tanganyika,
762,Lamprologini,,Lake Tanganyika,
763,Lamprologini,,Lake Tanganyika,
764,Lamprologini,,Lake Tanganyika,
765,Lamprologini,,Lake Tanganyika,
766,Lamprologini,,Lake Tanganyika,
767,Lamprologini,,Lake Tanganyika,
768,Lamprologini,,Lake Tanganyika,
769,Lamprologini,,Lake Tanganyika,
770,Lamprologini,,Lake Tanganyika,
771,Lamprologini,,Lake Tanganyika,
772,Lamprologini,,Lake Tanganyika,
773,Lamprologini,,Lake Tanganyika,
774,Ancestral,,Lake Tanganyika,
775,Ancestral,,Lake Tanganyika,Divergence of Etia nguti and Steatocranus
776,Ancestral,,Lake Tanganyika,
777,Tilapinii,,Lake Tanganyika,
778,Tilapinii,,Lake Tanganyika,
779,Steatocranini,,Lake Tanganyika,
780,Steatocranini,,Lake Tanganyika,
781,Steatocranini,,Lake Tanganyika,
782,Steatocranini,,Lake Tanganyika,
783,Steatocranini,,Lake Tanganyika,
784,Steatocranini,,Lake Tanganyika,
785,Etiini,,Lake Tanganyika,
786,Gobiocichlini,,Lake Tanganyika,
787,Gobiocichlini,,Lake Tanganyika,
788,Ancestral,,Lake Tanganyika,
789,Boulgerochromini,,Lake Tanganyika,
790,Bathybatini,,Lake Tanganyika,
791,Bathybatini,,Lake Tanganyika,
792,Bathybatini,,Lake Tanganyika,
